Receptor_measurement1,Receptor_measurement2,Receptor_measurement3,Receptor_measurement4,Receptor_measurement5,Source_Location_X,Source_Location_Y,Source_Emission_rate,Wind_speed,wind_angle
0.033436,0.0019769,0.024138,4.47E-05,0.033436,100,50,0.010908,1,0
0.00049679,0.001305,0.015934,2.95E-05,0.00049679,100,50,0.0014587,9,0
0.00047384,0.00097392,0.011892,2.20E-05,0.00047384,100,50,0.0012367,8,0
0.014515,0.0074813,0.091346,0.00016905,0.014515,100,50,0.014206,3,0
0.0013802,0.0008024,0.0097973,1.81E-05,0.0013802,100,50,0.0045028,10,0
0.0031103,0.0039704,0.048479,8.97E-05,0.0031103,100,50,0.007103,7,0
0.0029743,0.00074425,0.0090873,1.68E-05,0.0029743,100,50,0.0097032,10,0
0.00048599,0.0048405,0.059103,0.00010938,0.00048599,100,50,0.0012684,8,0
0.0096226,0.00093032,0.011359,2.10E-05,0.0096226,100,50,0.0094178,3,0
0.011469,0.009245,0.11288,0.0002089,0.011469,100,50,0.0074835,2,0
0.011882,0.0062215,0.075964,0.00014058,0.011882,100,50,0.015506,4,0
0.0001944,0.003291,0.040183,7.44E-05,0.0001944,100,50,0.0006342,10,0
0.0022356,0.0026414,0.032252,5.97E-05,0.0022356,100,50,0.0051053,7,0
0.0064984,0.0046183,0.05639,0.00010436,0.0064984,100,50,0.01484,7,0
0.00025272,0.0077681,0.094849,0.00017553,0.00025272,100,50,0.00041223,5,0
0.0020655,0.0071809,0.087678,0.00016226,0.0020655,100,50,0.0053907,8,0
0.0010553,0.0044688,0.054564,0.00010098,0.0010553,100,50,0.0024099,7,0
0.0079217,0.024886,0.30386,0.00056232,0.0079217,100,50,0.0051687,2,0
0.0038555,0.0016151,0.019721,3.65E-05,0.0038555,100,50,0.01132,9,0
0.0068849,0.0047291,0.057742,0.00010686,0.0068849,100,50,0.013477,6,0
0.0042875,0.0052718,0.064368,0.00011912,0.0042875,100,50,0.012589,9,0
0.00035235,0.0030817,0.037627,6.96E-05,0.00035235,100,50,0.00091958,8,0
0.0047195,7.75E-05,0.0009466,1.75E-06,0.0047195,100,50,0.013857,9,0
0.0036449,0.0029654,0.036207,6.70E-05,0.0036449,100,50,0.0071347,6,0
0.0051151,0.0035614,0.043484,8.05E-05,0.0051151,100,50,0.01335,8,0
0.0027604,0.0037561,0.045863,8.49E-05,0.0027604,100,50,0.0090056,10,0
0.039074,0.026281,0.3209,0.00059385,0.039074,100,50,0.012747,1,0
0.0071927,0.0040895,0.049933,9.24E-05,0.0071927,100,50,0.014079,6,0
0.0060911,0.018839,0.23002,0.00042568,0.0060911,100,50,0.0059614,3,0
0.018079,0.0019188,0.023428,4.34E-05,0.018079,100,50,0.011796,2,0
0.0013608,0.0096908,0.11832,0.00021897,0.0013608,100,50,0.0026636,6,0
0.0013413,0.0035119,0.042881,7.94E-05,0.0013413,100,50,0.004376,10,0
0.022015,0.019362,0.23641,0.00043751,0.022015,100,50,0.014365,2,0
0.022258,0.0023258,0.028398,5.26E-05,0.022258,100,50,0.014523,2,0
