Receptor_measurement1,Receptor1_Log,Receptor_measurement2,Receptor2_Log,Receptor_measurement3,Receptor_measurement4,Receptor_measurement5,Wind_speed,Wind_speed_reci,Wind_speed_sqr_log,Source_Location_X,Source_Location_Y,Source_Emission_rate,Log
0.0018679,-5.457292756,0.00087183,-6.119136382,0.016137,0.00054742,4.45E-06,15,0.066666667,2.352182518,100,100,0.0083397,-2.078849572
7.80E-21,-40.21581079,2.18E-05,-9.323087013,0,0.0003252,0.0021809,15,0.066666667,2.352182518,300,300,0.011764,-1.929444984
0.00073706,-6.264994314,0.0018033,-5.487864035,0.00023591,0.0015409,2.84E-05,6,0.166666667,1.556302501,181,141,0.0030124,-2.521087361
0.002625,-5.161741385,0.00082121,-6.171091542,0.0055904,0.00043984,1.52E-06,20,0.05,2.602059991,70,70,0.01446,-1.839831707
9.26E-06,-10.06677803,0.00022696,-7.288101354,1.82E-12,0.00029199,2.92E-05,14,0.071428571,2.292256071,180,180,0.0032344,-2.490206272
0.14742,-1.662887186,0.068806,-2.324747378,1.2736,0.043203,0.00035147,2,0.5,0.602059991,100,100,0.011701,-1.931777021
1.57E-19,-37.6082007,0.00044036,-6.712384274,0,0.0065577,0.043978,2,0.5,0.602059991,300,300,0.0042174,-2.374955206
2.06E-22,-43.37226556,2.11E-05,-9.351435089,0,0.00042495,0.0042779,12,0.083333333,2.158362492,299,313,0.012399,-1.90661334
0.0010836,-5.930262007,0.00033899,-6.939626226,0.0023077,0.00018157,6.28E-07,17,0.058823529,2.460897843,70,70,0.0043125,-2.365270892
1.21E-05,-9.834429259,0.00029613,-7.057035187,2.38E-12,0.00038097,3.81E-05,9,0.111111111,1.908485019,180,180,0.001744,-2.758453519
0.010599,-3.949470216,0.004947,-4.611316179,0.091568,0.0031062,2.53E-05,7,0.142857143,1.69019608,100,100,0.010306,-1.986909862
1.25E-19,-37.80617997,0.00035097,-6.909460009,0,0.0052264,0.03505,4,0.25,1.204119983,300,300,0.013445,-1.871439193
0.00062516,-6.408017635,0.0012107,-5.833926915,0,0.00077369,3.67E-07,20,0.05,2.602059991,300,114,0.01484,-1.828566099
0.019894,-3.402555773,0.0062239,-4.411874788,0.042369,0.0033335,1.15E-05,5,0.2,1.397940009,70,70,0.0068493,-2.164353811
0.0062308,-4.410912378,0.15264,-1.632663285,1.23E-09,0.19637,0.01963,1,1,0,180,180,0.011098,-1.95475528
0.0041837,-4.75687893,0.0019527,-5.418728947,0.036144,0.0012261,9.97E-06,12,0.083333333,2.158362492,100,100,0.011955,-1.92245042
9.46E-22,-42.04821773,2.65E-06,-11.15350825,0,3.94E-05,0.00026453,5,0.2,1.397940009,300,300,0.00015855,-3.799833754
3.31E-05,-8.960344012,0.00061522,-6.421939109,1.53E-07,0.00088759,0.00022854,12,0.083333333,2.158362492,116,196,0.0083397,-2.078849572
0.0031153,-5.01300025,0.0009746,-6.022347186,0.0066346,0.000522,1.81E-06,17,0.058823529,2.460897843,70,70,0.012399,-1.90661334
0.00094945,-6.045055802,0.02326,-3.266780579,1.87E-10,0.029924,0.0029912,3,0.333333333,0.954242509,180,180,0.015221,-1.817556814
0.016291,-3.576104513,0.0076036,-4.237961476,0.14074,0.0047743,3.88E-05,6,0.166666667,1.556302501,100,100,0.011637,-1.934158966
4.18E-20,-38.75764744,0.00011699,-7.863702518,0,0.0017421,0.011683,6,0.166666667,1.556302501,300,300,0.010084,-1.996367163
0.0022705,-5.287756988,0.12158,-1.830275722,1.62E-08,0.19982,0.062737,1,1,0,141,205,0.013128,-1.881801432
0.00041118,-6.771936036,0.00012864,-7.781247937,0.00087569,6.89E-05,2.38E-07,14,0.071428571,2.292256071,70,70,0.0011098,-2.95475528
3.54E-05,-8.901993476,0.00086709,-6.123871645,6.96E-12,0.0011155,0.00011151,13,0.076923077,2.227886705,180,180,0.010654,-1.972487308
0.0012035,-5.839107811,0.0005617,-6.500991152,0.010397,0.00035269,2.87E-06,9,0.111111111,1.908485019,100,100,0.0019343,-2.713476168
6.47E-22,-42.37819144,1.81E-06,-11.48464285,0,2.70E-05,0.00018083,16,0.0625,2.408239965,300,300,0.0011098,-2.95475528
3.53E-33,-64.90445059,2.20E-07,-13.31515464,0,1.46E-05,0.00045324,6,0.166666667,1.556302501,313,353,0.00025368,-3.595713771
0.0061019,-4.429069828,0.001909,-5.438388143,0.012995,0.0010224,3.54E-06,10,0.1,2,70,70,0.0084031,-2.075560468
0.00010286,-7.97550696,0.0025198,-5.197267857,2.02E-11,0.0032417,0.00032405,3,0.333333333,0.954242509,180,180,0.0016489,-2.782805682
