Receptor_measurement1,Receptor_measurement2,Receptor_measurement3,Receptor_measurement4,Receptor_measurement5,Source_Location_X,Source_Location_Y,Source_Emission_rate,Wind_speed,wind_angle
1.39E-17,0.010466,0.32355,5.02E-10,1.39E-17,41,289,0.0028856,3,0
0.00014892,6.48E-10,9.21E-27,3.79E-08,0.00014892,5,16,0.0003171,3,0
1.1326,4.18E-05,1.15E-11,0.94633,1.1326,24,123,0.010306,2,0
2.23E-05,0.0031162,0.00014853,0.14709,2.23E-05,48,202,0.014365,2,0
0.0001369,9.95E-10,8.78E-28,1.76E-08,0.0001369,4,6,0.0025051,7,0
0.57929,4.15E-07,1.44E-26,0.00021248,0.57929,47,55,0.012842,1,0
2.40E-19,0.0040007,0.10829,1.55E-11,2.40E-19,39,298,0.0023465,8,0
0.23594,3.33E-07,8.90E-20,0.0031779,0.23594,33,81,0.0034881,4,0
0.33095,6.77E-06,7.49E-15,0.264,0.33095,47,123,0.0081177,6,0
0.10351,1.94E-07,3.07E-21,0.00017863,0.10351,9,44,0.011796,3,0
6.97E-12,0.15246,3.274,1.52E-06,6.97E-12,2,291,0.012874,1,0
0.0027101,9.72E-09,1.72E-26,5.31E-07,0.0027101,13,20,0.012335,8,0
0.48694,1.07E-05,8.85E-15,0.43383,0.48694,49,124,0.014587,7,0
0.010367,3.11E-08,3.33E-24,4.59E-06,0.010367,7,25,0.013128,5,0
0.026883,2.99E-08,1.78E-26,1.01E-05,0.026883,35,46,0.0037735,3,0
0.72549,1.07E-06,2.02E-19,0.0038724,0.72549,19,64,0.013064,2,0
2.88E-11,0.0029581,0.044745,6.57E-06,2.88E-11,29,256,0.0020928,3,0
9.63E-05,0.001338,0.00076844,0.054451,9.63E-05,10,205,0.015348,8,0
0.0024694,0.00049936,7.73E-06,0.36044,0.0024694,23,181,0.0072615,3,0
0.0175,3.06E-08,4.37E-23,1.93E-05,0.0175,14,42,0.0085616,10,0
0.00083258,0.00010504,1.55E-06,0.089258,0.00083258,20,179,0.0048833,9,0
2.26E-08,0.0019728,0.0093864,0.00048522,2.26E-08,25,235,0.0019026,2,0
0.00024858,4.04E-05,1.07E-06,0.02669,0.00024858,16,181,0.0012684,7,0
0.0021036,1.21E-08,1.59E-27,2.15E-07,0.0021036,12,11,0.003932,1,0
0.38492,1.18E-06,5.69E-17,0.022214,0.38492,30,95,0.0094812,9,0
1.8134,2.95E-06,2.01E-18,0.012094,1.8134,16,65,0.015348,1,0
0.45404,1.05E-06,2.41E-17,0.012222,0.45404,22,84,0.011479,7,0
0.27833,1.95E-06,3.66E-16,0.063015,0.27833,41,111,0.0075786,10,0
0.0041576,9.11E-05,2.48E-07,0.20123,0.0041576,22,169,0.0055809,7,0
0.25687,1.92E-06,2.56E-15,0.050227,0.25687,31,108,0.0072298,10,0
0.17817,3.52E-07,6.57E-20,0.00051525,0.17817,5,48,0.009291,2,0
0.042604,7.11E-05,2.32E-09,0.67866,0.042604,34,153,0.0070396,4,0
0.32166,9.29E-07,1.99E-16,0.008276,0.32166,8,78,0.01224,8,0
0.44394,4.17E-07,3.52E-22,0.0012271,0.44394,35,66,0.0035832,1,0
0.00039203,2.11E-09,7.13E-33,7.36E-09,0.00039203,35,16,0.011447,10,0
0.17853,0.000111,8.61E-11,2.1452,0.17853,47,147,0.014618,3,0
2.2824,1.08E-05,1.05E-14,0.19771,2.2824,21,97,0.0066908,1,0
0.00048282,2.12E-09,6.15E-28,6.31E-08,0.00048282,14,16,0.0024417,5,0
0.00040329,2.37E-09,5.04E-31,1.43E-08,0.00040329,26,13,0.0091324,8,0
0.1312,4.91E-07,4.61E-16,0.0059716,0.1312,10,86,0.003932,8,0
